airbnbId,date,empty
listing_8597304,2019-11-05,True
listing_8597304,2019-11-06,True
listing_8597304,2019-11-07,True
listing_8597304,2019-11-10,True
listing_8597304,2019-11-11,True
listing_8597304,2019-11-12,True
listing_8597304,2019-11-13,True
listing_8597304,2019-11-14,True
listing_8597304,2019-11-15,True
listing_8597304,2019-11-17,True
listing_8597304,2019-11-18,True
listing_8597304,2019-11-19,True
listing_8597304,2019-11-20,True
listing_8597304,2019-11-21,True
listing_8597304,2019-11-22,True
listing_8597304,2019-11-23,True
listing_8597304,2019-11-26,True
listing_8597304,2019-11-27,True
listing_8597304,2019-11-28,True
listing_8597304,2019-11-29,True
listing_8597304,2019-11-30,True
listing_8597304,2019-12-01,True
listing_8597304,2019-12-02,True
listing_8597304,2019-12-03,True
listing_8597304,2019-12-04,True
listing_8597304,2019-12-05,True
listing_8597304,2019-12-06,True
listing_8597304,2019-12-07,True
listing_8597304,2019-12-08,True
listing_8597304,2019-12-09,True
listing_8597304,2019-12-10,True
listing_8597304,2019-12-11,True
listing_8597304,2019-12-12,True
listing_8597304,2019-12-13,True
listing_8597304,2019-12-14,True
listing_8597304,2019-12-15,True
listing_8597304,2019-12-16,True
listing_8597304,2019-12-17,True
listing_8597304,2019-12-18,True
listing_8597304,2019-12-19,True
listing_8597304,2019-12-20,True
listing_8597304,2019-12-21,True
listing_8597304,2019-12-22,True
listing_8597304,2019-12-23,True
listing_8597304,2019-12-24,True
listing_8597304,2019-12-25,True
listing_8597304,2019-12-26,True
listing_8597304,2019-12-27,True
listing_8597304,2019-12-29,True
listing_8597304,2019-12-30,True
listing_8597304,2019-12-31,True
listing_8597304,2020-01-01,True
listing_8597304,2020-01-02,True
listing_8597304,2020-01-03,True
listing_8597304,2020-01-04,True
listing_8597304,2020-01-05,True
listing_8597304,2020-01-06,True
listing_8597304,2020-01-07,True
listing_8597304,2020-01-08,True
listing_8597304,2020-01-09,True
listing_8597304,2020-01-10,True
listing_8597304,2020-01-11,True
listing_8597304,2020-01-12,True
listing_8597304,2020-01-13,True
listing_8597304,2020-01-14,True
listing_8597304,2020-01-15,True
listing_8597304,2020-01-16,True
listing_8597304,2020-01-17,True
listing_8597304,2020-01-18,True
listing_8597304,2020-01-19,True
listing_8597304,2020-01-27,True
listing_8597304,2020-01-28,True
listing_8597304,2020-01-29,True
listing_8597304,2020-01-30,True
listing_8597304,2020-01-31,True
listing_8597304,2020-02-01,True
listing_8597304,2020-02-02,True
listing_8597304,2020-02-03,True
listing_8597304,2020-02-04,True
listing_8597304,2020-02-05,True
listing_8597304,2020-02-06,True
listing_8597304,2020-02-07,True
listing_8597304,2020-02-08,True
listing_8597304,2020-02-09,True
listing_8597304,2020-02-10,True
listing_8597304,2020-02-11,True
listing_8597304,2020-02-12,True
listing_8597304,2020-02-13,True
listing_8597304,2020-02-14,True
listing_8597304,2020-02-15,True
listing_8597304,2020-02-16,True
listing_8597304,2020-02-17,True
listing_8597304,2020-02-18,True
listing_8597304,2020-02-19,True
listing_8597304,2020-02-20,True
listing_8597304,2020-02-21,True
listing_8597304,2020-02-22,True
listing_8597304,2020-02-23,True
listing_8597304,2020-02-24,True
listing_8597304,2020-02-25,True
listing_8597304,2020-02-26,True
listing_8597304,2020-02-27,True
listing_8597304,2020-02-28,True
listing_8597304,2020-02-29,True
listing_8597304,2020-03-01,True
listing_8597304,2020-03-02,True
listing_8597304,2020-03-03,True
listing_8597304,2020-03-04,True
listing_8597304,2020-03-05,True
listing_8597304,2020-03-06,True
listing_8597304,2020-03-07,True
listing_8597304,2020-03-08,True
listing_8597304,2020-03-09,True
listing_8597304,2020-03-10,True
listing_8597304,2020-03-11,True
listing_8597304,2020-03-12,True
listing_8597304,2020-03-13,True
listing_8597304,2020-03-14,True
listing_8597304,2020-03-15,True
listing_8597304,2020-03-16,True
listing_8597304,2020-03-17,True
listing_8597304,2020-03-18,True
listing_8597304,2020-03-19,True
listing_8597304,2020-03-20,True
listing_8597304,2020-03-21,True
listing_8597304,2020-03-22,True
listing_8597304,2020-03-23,True
listing_8597304,2020-03-24,True
listing_8597304,2020-03-25,True
listing_8597304,2020-03-26,True
listing_8597304,2020-03-27,True
listing_8597304,2020-03-28,True
listing_8597304,2020-03-29,True
listing_8597304,2020-03-30,True
listing_8597304,2020-03-31,True
listing_8597304,2020-04-01,True
listing_8597304,2020-04-02,True
listing_8597304,2020-04-03,True
listing_8597304,2020-04-04,True
listing_8597304,2020-04-05,True
listing_8597304,2020-04-06,True
listing_8597304,2020-04-07,True
listing_8597304,2020-04-08,True
listing_8597304,2020-04-09,True
listing_8597304,2020-04-10,True
listing_8597304,2020-04-11,True
listing_8597304,2020-04-12,True
listing_8597304,2020-04-13,True
listing_8597304,2020-04-14,True
listing_8597304,2020-04-15,True
listing_8597304,2020-04-16,True
listing_8597304,2020-04-17,True
listing_8597304,2020-04-18,True
listing_8597304,2020-04-19,True
listing_8597304,2020-04-20,True
listing_8597304,2020-04-21,True
listing_8597304,2020-04-22,True
listing_8597304,2020-04-23,True
listing_8597304,2020-04-24,True
listing_8597304,2020-04-25,True
listing_8597304,2020-04-26,True
listing_8597304,2020-04-27,True
listing_8597304,2020-04-28,True
